Ship Number,Ref,Carrier,Ship Method,Tracking Number,Shipped Date,Names,Company,Address 1,City,State,Zip,Country,Base Rate,Total Charge,Qty,Pallet Qty,Weight,Dimensions,Customer,Client Customer,Tracking Status
1262951,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,1601,71699,5550 East Grand Avenue,Dallas,TX,75223,US,33.25,7.92,1,0,0.68,11X10X1,,",",Arrived at FedEx location
1261389,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,2363,72399,18222 Southeast Division Street,Gresham,OR,97030,US,100.09,20.83,1,0,7.65,13X10X6,,",",Arrived at FedEx location
1260891,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,2412,71199,33 Journal Square Plaza,Jersey City,NJ,7306,US,36.13,7.92,1,0,1.55,11X10X1,,",",Arrived at FedEx location
1262947,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,1601,71699,640 W. PLEASANT RUN,Lancaster,TX,75146,US,33.25,7.92,1,0,0.81,11X10X1,,",",Arrived at FedEx location
1263123,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,1604,71799,741 North Summit Boulevard,Frisco,CO,80443,US,65.85,14.49,1,0,6.55,12X6X6,,",",Arrived at FedEx location
1259875,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,7 Eleven,,2075 S Buckner Blvd,Dallas,TX,75217,US,36.13,7.92,1,0,1.1,11X10X1,,",",Arrived at FedEx location
1260879,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,1507,71499,319 N Woodland Blvd,Deland,FL,32720,US,39.93,8.3,1,0,0.9,11X10X1,,",",Arrived at FedEx location
1260887,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,1610,71799,19390 East Quincy Avenue,Aurora,CO,80015,US,36.13,7.92,1,0,1.05,11X10X1,,",",Arrived at FedEx location
1262941,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,1601,71699,2990 Lombardy Lane,Dallas,TX,75220,US,36.13,7.92,1,0,1.1,11X10X1,,",",Arrived at FedEx location
1262983,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,1601,71699,2318 North Galloway Avenue,Mesquite,TX,75150,US,36.13,7.92,1,0,1.23,11X10X1,,",",Arrived at FedEx location
1260883,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,2175,72199,10910 Rush Street,South El Monte,CA,91733,US,42.6,8.86,1,0,0.85,11X10X1,,",",Departed FedEx location
1260256,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,7 Eleven,,9320 BALTIMORE PIKE,Ellicott City,MD,21041,US,67.17,13.98,1,0,7.6,13X10X6,,",",Departed FedEx location
1260885,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,2364,72299,1216 Galleria Boulevard,Roseville,CA,95678,US,42.6,8.86,1,0,0.6,11X10X1,,",",Departed FedEx location
1262976,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,1601,71699,302 North Marsalis Avenue,Dallas,TX,75203,US,33.25,7.92,1,0,0.65,11X10X1,,",",Arrived at FedEx location
1259876,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,7 Eleven,,7939 Silicon Hts,Colorado Springs,CO,80939,US,40.41,9.61,1,0,1.1,11X10X1,,",",Arrived at FedEx location
1262969,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,1601,71699,5712 Skillman Street,Dallas,TX,75206,US,36.13,7.92,1,0,1.09,11X10X1,,",",Arrived at FedEx location
1260150,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,7 Eleven,,6730 HWY 123,Geronimo,TX,78115,US,59.77,12.43,1,0,3.7,12X6X6,,",",Departed FedEx location
1259874,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,7 Eleven,,2801 BARRINGTON WAY,Mansfield,TX,76063,US,36.13,7.92,1,0,1.3,11X10X1,,",",Arrived at FedEx location
1262977,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,1601,71699,8902 Garland Road,Dallas,TX,75218,US,36.13,7.92,1,0,1.3,11X10X1,,",",Arrived at FedEx location
1262945,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,1601,71699,1500 N. HAMPTON,Desoto,TX,75115,US,33.25,7.92,1,0,0.81,11X10X1,,",",Arrived at FedEx location
1260886,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,2364,72299,929 Market Street,Yuba City,CA,95991,US,42.6,8.86,1,0,0.95,11X10X1,,",",Departed FedEx location
1262973,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,1611,72399,2945 WEST BERRY ST,Fort Worth,TX,76109,US,33.25,7.92,1,0,0.89,11X10X1,,",",Arrived at FedEx location
1262970,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,1601,71699,2608 Elm Street,Dallas,TX,75226,US,33.25,7.92,1,0,0.94,11X10X1,,",",Arrived at FedEx location
1262991,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,1601,71699,3321 W Walnut Hill Ln,Irving,TX,75038,US,33.25,7.92,1,0,0.69,11X10X1,,",",Arrived at FedEx location
1259877,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,7 Eleven,,241 Atlantic Ave,Brooklyn,NY,11201,US,33.25,7.92,1,0,0.75,11X10X1,,",",Arrived at FedEx location
1259909,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,7 Eleven,,Kings Canyon Rd,Fresno,CA,93727,US,49.97,10.39,1,0,1.9,11X10X1,,",",Arrived at FedEx location
1262968,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,1601,71699,502 Clay Mathis Road,Mesquite,TX,75181,US,36.13,7.92,1,0,1.19,11X10X1,,",",Arrived at FedEx location
1260890,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,2176,72199,14300 Bellflower Boulevard,Bellflower,CA,90706,US,42.6,8.86,1,0,0.95,11X10X1,,",",Arrived at FedEx location
1263584,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,2514,71399,2205 Princess Anne Road,Virginia Beach,VA,23456,US,92.37,19.22,1,0,7.05,13X10X6,,",",Arrived at FedEx location
1260371,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,7 Eleven,,1215 Long Ferry Rd,Salisbury,NC,28146,US,51.6,10.73,1,0,4.7,13X6X6,,",",Departed FedEx location
1260155,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,7 Eleven,,3190 Bee Ridge Rd,Sarasota,FL,34239,US,59.77,12.43,1,0,3.7,12X6X6,,",",Departed FedEx location
1262975,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,1602,71699,18118 Midway Rd,Dallas,TX,75287,US,36.13,7.92,1,0,1.41,11X10X1,,",",Arrived at FedEx location
1262985,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,1601,71699,3602 South Lancaster Road,Dallas,TX,75216,US,33.25,7.92,1,0,0.84,11X10X1,,",",Arrived at FedEx location
1262982,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,1601,71699,3230 West Davis Street,Dallas,TX,75211,US,33.25,7.92,1,0,0.88,11X10X1,,",",Arrived at FedEx location
1262981,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,1601,71699,9804 Ferguson Road,Dallas,TX,75228,US,33.25,7.92,1,0,0.89,11X10X1,,",",Arrived at FedEx location
1260162,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,7 Eleven,,303 Duke St,Northumberland,PA,17857,US,50.72,11.35,1,0,3.7,12X6X6,,",",Arrived at FedEx location
1259873,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,7 Eleven,,3309 PACIFIC HWY E,Fife,WA,98424,US,45.03,9.37,1,0,1.6,11X10X1,,",",Departed FedEx location
1262980,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,1601,71699,10468 Garland Rd,Dallas,TX,75218,US,36.13,7.92,1,0,1.07,11X10X1,,",",Arrived at FedEx location
1262974,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,1602,71699,5365 West Spring Valley Road,Dallas,TX,75240,US,33.25,7.92,1,0,0.81,11X10X1,,",",Arrived at FedEx location
1259871,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,2421,72499,66-04 Queens Boulevard,Queens,NY,11377,US,33.25,7.92,1,0,0.75,11X10X1,,",",Departed FedEx location
1261900,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,2702,72799,2401 Leechburg Rd,New Kensington,PA,15068,US,67.17,13.98,1,0,7.6,13X10X6,,",",Arrived at FedEx location
1260870,711AR414,FedEx 2Day,EFEX2,3.97345E+11,2023-04-24T00:00:00,2516,71399,12460 Warwick Boulevard,Newport News,VA,23606,US,45.03,9.37,1,0,1.35,11X10X1,,",",Arrived at FedEx location
1260223,711AR414,FedEx 2Day,EFEX2,3.97345E+11,2023-04-24T00:00:00,7 Eleven,,236 SW 12th Ave,Miami,FL,33130,US,49.97,10.39,1,0,1.38,11X10X1,,",",Arrived at FedEx location
1260881,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,1606,71799,5605 South 3500 West,Roy,UT,84067,US,33.25,7.92,1,0,0.85,11X10X1,,",",Departed FedEx location
1262938,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,1601,71699,2120 Greenville Avenue,Dallas,TX,75206,US,33.25,7.92,1,0,0.83,11X10X1,,",",Arrived at FedEx location
1259903,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,2464,72499,1747 Washington Street,Boston,MA,2118,US,45.03,9.37,1,0,1.3,11X10X1,,",",Departed FedEx location
1260204,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,7 Eleven,,3675 S Durango Dr,Las Vegas,NV,89147,US,45.03,9.37,1,0,1.78,11X10X1,,",",Departed FedEx location
1261395,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,2133,72199,1800 East Grand Avenue,Grover Beach,CA,93433,US,100.09,20.83,1,0,7.65,13X10X6,,",",Arrived at FedEx location
1261447,711AR414,FedEx 2Day,EFEX2,3.97345E+11,2023-04-24T00:00:00,1601,71699,2821 South Walton Walker Boulevard,Dallas,TX,75211,US,67.17,13.98,1,0,7.65,13X10X6,,",",Departed FedEx location
1262932,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,1601,71699,4104 Gaston Avenue,Dallas,TX,75246,US,36.13,7.92,1,0,1.07,11X10X1,,",",Arrived at FedEx location
1259870,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,7 Eleven,,66 CENTENNIAL DR,Long Branch,NJ,7740,US,33.25,7.92,1,0,0.8,11X10X1,,",",Arrived at FedEx location
1260869,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,2544,72599,1615 Thames Street,Baltimore,MD,21231,US,33.25,7.92,1,0,0.85,11X10X1,,",",Departed FedEx location
1260211,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,7 Eleven,,2625 Handley Ederville Rd,Richland Hills,TX,76118,US,33.25,7.92,1,0,0.74,11X10X1,,",",Arrived at FedEx location
1260219,711AR414,FedEx 2Day,EFEX2,3.97345E+11,2023-04-24T00:00:00,2423,72499,3269 Sunrise Highway,Islip Terrace,NY,11752,US,45.03,9.37,1,0,1.14,11X10X1,,",",Arrived at FedEx location
1259582,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,7 Eleven,,2900 Miles Rd,Sachse,TX,75048,US,46.44,8.28,1,0,2.4,12X6X6,,",",Picked up
1259910,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,7 Eleven,,1900 Union Ave,Bakersfield,CA,93305,US,49.97,10.39,1,0,1.15,11X10X1,,",",Departed FedEx location
1263244,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,1610,71799,2790 South Wadsworth Boulevard,Denver,CO,80227,US,51.6,10.73,1,0,4.45,12X6X6,,",",Picked up
1260222,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,7 Eleven,,1340 FM 548,Forney,TX,75126,US,40.41,9.61,1,0,1.44,11X10X1,,",",Arrived at FedEx location
1260540,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,Store Manager,,5606 W Sam Houston Pkwy N,Houston,TX,77041,US,92.37,19.22,1,0,7.65,13X10X6,,",",Arrived at FedEx location
1260878,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,2136,72199,9680 Sunland Boulevard,Los Angeles,CA,91040,US,49.97,10.39,1,0,1.45,11X10X1,,",",Departed FedEx location
1260174,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,7 Eleven,,3001 Alliance Gateway Fwy,Fort Worth,TX,76177,US,33.25,7.92,1,0,0.63,11X10X1,,",",Arrived at FedEx location
1259906,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,2172,72199,14502 Goldenwest Street,Westminster,CA,92683,US,49.97,10.39,1,0,1.7,11X10X1,,",",Arrived at FedEx location
1261394,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,2133,72199,1911 North Oxnard Boulevard,Oxnard,CA,93036,US,100.09,20.83,1,0,7.45,13X10X6,,",",Departed FedEx location
1259911,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,7 Eleven,,12204 Balm Riverview Rd,Riverview,FL,33579,US,39.93,8.3,1,0,0.8,11X10X1,,",",Arrived at FedEx location
1265597,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,2360,72399,2353 140th Avenue Northeast,Bellevue,WA,98005,US,74.22,15.44,1,0,5.8,12X6X6,,",",Departed FedEx location
1260553,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,Store Manager,,1731 E Division St,Arlington,TX,76011,US,67.17,13.98,1,0,7.9,13X10X6,,",",Arrived at FedEx location
1260172,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,7 Eleven,,116 Tamiami Trl N,Venice,FL,34285,US,39.93,8.3,1,0,0.73,11X10X1,,",",Arrived at FedEx location
1259897,711AR414,FedEx 2Day,EFEX2,3.97345E+11,2023-04-24T00:00:00,7 Eleven,,10 S Randall Rd,Algonquin,IL,60102,US,29.52,7.92,1,0,1.25,11X10X1,,",",Arrived at FedEx location
1260884,711AR414,FedEx 2Day,EFEX2,3.97345E+11,2023-04-24T00:00:00,2176,72199,1730 Sepulveda Boulevard,Torrance,CA,90501,US,42.6,8.86,1,0,0.6,11X10X1,,",",Arrived at FedEx location
1262967,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,1601,71699,2601 Faithon P Lucas Sr Blvd,Mesquite,TX,75181,US,33.25,7.92,1,0,0.87,11X10X1,,",",Arrived at FedEx location
1265561,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,2362,72399,1603 East Alder Street,Walla Walla,WA,99362,US,71.05,15.58,1,0,4.75,12X6X6,,",",Departed FedEx location
1260175,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,7 Eleven,,20824 SR-520 W,Orlando,FL,32833,US,44.22,9.99,1,0,0.79,11X10X1,,",",Arrived at FedEx location
1259907,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,7 Eleven,,7500 Janes Ave,Woodridge,IL,60517,US,28.42,7.92,1,0,1,11X10X1,,",",Arrived at FedEx location
1260214,711AR414,FedEx 2Day,EFEX2,3.97345E+11,2023-04-24T00:00:00,7 Eleven,,1312 SPRINGSTEEN RD,Rock Hill,SC,29734,US,36.13,7.92,1,0,1.16,11X10X1,,",",Arrived at FedEx location
1262979,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,1601,71699,615 SOUTH MAIN,Duncanville,TX,75116,US,33.25,7.92,1,0,0.84,11X10X1,,",",Arrived at FedEx location
1260880,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,2412,71199,1217 State Route 23,Wayne,NJ,7470,US,33.25,7.92,1,0,0.7,11X10X1,,",",Arrived at FedEx location
1260178,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,7 Eleven,,7724 176th St E,Puyallup,WA,98375,US,45.03,9.37,1,0,1.12,11X10X1,,",",Departed FedEx location
1260874,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,2516,71399,355 East Mercury Boulevard,Hampton,VA,23663,US,45.03,9.37,1,0,1.15,11X10X1,,",",Arrived at FedEx location
1259905,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,2173,72199,7353 Melrose Avenue,Los Angeles,CA,90046,US,42.6,8.86,1,0,0.85,11X10X1,,",",Departed FedEx location
1259908,711AR414,FedEx 2Day,EFEX2,3.97345E+11,2023-04-24T00:00:00,7 Eleven,,10730 Little Patuxent Pkwy,Columbia,MD,21044,US,36.13,7.92,1,0,1.2,11X10X1,,",",Departed FedEx location
1261719,711AR414,FedEx 2Day,EFEX2,3.97345E+11,2023-04-24T00:00:00,2173,72199,5401 South Figueroa Street,Los Angeles,CA,90037,US,73.65,15.32,1,0,4.6,12X6X6,,",",Arrived at FedEx location
1260872,711AR414,FedEx 2Day,EFEX2,3.97345E+11,2023-04-24T00:00:00,2411,71199,2582 WHITEHORSE MERCERVIL,Trenton,NJ,8619,US,33.25,7.92,1,0,0.65,11X10X1,,",",Arrived at FedEx location
1260216,711AR414,FedEx 2Day,EFEX2,3.97345E+11,2023-04-24T00:00:00,7 Eleven,,805 S 5th St,Mount Vernon,WA,98274,US,49.31,11.06,1,0,1.47,11X10X1,,",",Departed FedEx location
1260654,711AR414,FedEx 2Day,EFEX2,3.97345E+11,2023-04-24T00:00:00,1554,71599,11700 South Cleveland Avenue,Fort Myers,FL,33907,US,39.93,8.3,1,0,0.75,11X10X1,,",",Arrived at FedEx location
1259851,711AR414,FedEx 2Day,EFEX2,3.97345E+11,2023-04-24T00:00:00,7 Eleven,,1650 W Algonquin Rd,Arlington Heights,IL,60005,US,29.52,7.92,1,0,1.4,11X10X1,,",",Arrived at FedEx location
1260167,711AR414,FedEx 2Day,EFEX2,3.97345E+11,2023-04-24T00:00:00,7 Eleven,,3770 S Western Ave,Los Angeles,CA,90018,US,49.97,10.39,1,0,1.1,11X10X1,,",",Arrived at FedEx location
1260166,711AR414,FedEx 2Day,EFEX2,3.97345E+11,2023-04-24T00:00:00,7 Eleven,,5300 Princess Anne Rd,Virginia Beach,VA,23462,US,39.93,8.3,1,0,0.85,11X10X1,,",",Arrived at FedEx location
1260777,711AR414,FedEx 2Day,EFEX2,3.97345E+11,2023-04-24T00:00:00,1603,72399,15010 Farm to Market Road 1825,Pflugerville,TX,78660,US,45.03,9.37,1,0,1.05,11X10X1,,",",Arrived at FedEx location
1260346,711AR414,FedEx 2Day,EFEX2,3.97345E+11,2023-04-24T00:00:00,1611,72399,3505 Heritage Trace Parkway,Keller,TX,76248,US,33.25,7.92,1,0,0.9,11X10X1,,",",Arrived at FedEx location
1259896,711AR414,FedEx 2Day,EFEX2,3.97345E+11,2023-04-24T00:00:00,7 Eleven,,9000 S 700 W,Sandy,UT,84070,US,36.13,7.92,1,0,1.3,11X10X1,,",",Arrived at FedEx location
1260795,711AR414,FedEx 2Day,EFEX2,3.97345E+11,2023-04-24T00:00:00,2364,72299,1061 Steamboat Parkway,Reno,NV,89521,US,45.03,9.37,1,0,1.25,11X10X1,,",",Departed FedEx location
1260220,711AR414,FedEx 2Day,EFEX2,3.97345E+11,2023-04-24T00:00:00,7 Eleven,,4016 N Collins St,Arlington,TX,76005,US,36.13,7.92,1,0,1.32,11X10X1,,",",Arrived at FedEx location
1260194,711AR414,FedEx 2Day,EFEX2,3.97345E+11,2023-04-24T00:00:00,7 Eleven,,101 Crossing Way Dr,Staunton,VA,24401,US,33.25,7.92,1,0,0.98,11X10X1,,",",Arrived at FedEx location
1260189,711AR414,FedEx 2Day,EFEX2,3.97345E+11,2023-04-24T00:00:00,2511,71399,3903 Victory Boulevard,Portsmouth,VA,23701,US,45.03,9.37,1,0,1.75,11X10X1,,",",Arrived at FedEx location
1260177,711AR414,FedEx 2Day,EFEX2,3.97345E+11,2023-04-24T00:00:00,7 Eleven,,7675 W 4th Ave,Hialeah,FL,33014,US,49.97,10.39,1,0,1.18,11X10X1,,",",Arrived at FedEx location
1259343,711AR414,FedEx 2Day,EFEX2,3.97345E+11,2023-04-24T00:00:00,7 Eleven,,3 North Yonge Street,Ormond Beach,FL,32174,US,51.73,10.77,1,0,2.3,11X10X1,,",",Arrived at FedEx location
1259860,711AR414,FedEx 2Day,EFEX2,3.97345E+11,2023-04-24T00:00:00,7 Eleven,,5220 Fashion Outlets Way,Rosemont,IL,60018,US,29.52,7.92,1,0,1.45,11X10X1,,",",Arrived at FedEx location
1260213,711AR414,FedEx 2Day,EFEX2,3.97345E+11,2023-04-24T00:00:00,7 Eleven,,7171 Stockton Blvd,Sacramento,CA,95823,US,49.97,10.39,1,0,1.15,11X10X1,,",",Departed FedEx location
1260788,711AR414,FedEx 2Day,EFEX2,3.97345E+11,2023-04-24T00:00:00,1610,71799,495 North Sheridan Boulevard,Lakewood,CO,80226,US,33.25,7.92,1,0,1,11X10X1,,",",Arrived at FedEx location
1260792,711AR414,FedEx 2Day,EFEX2,3.97345E+11,2023-04-24T00:00:00,2531,71399,851 John Marshall Highway,Front Royal,VA,22630,US,33.25,7.92,1,0,0.85,11X10X1,,",",Departed FedEx location
1259345,711AR414,FedEx 2Day,EFEX2,3.97345E+11,2023-04-24T00:00:00,7 Eleven,,382 East Washington Street,Stayton,OR,97383,US,46.88,10.55,1,0,0.95,11X10X1,,",",Arrived at FedEx location
1259900,711AR414,FedEx 2Day,EFEX2,3.97345E+11,2023-04-24T00:00:00,7 Eleven,,861 Tamiami Trl,Port Charlotte,FL,33953,US,45.03,9.37,1,0,1.3,11X10X1,,",",Arrived at FedEx location
1260791,711AR414,FedEx 2Day,EFEX2,3.97345E+11,2023-04-24T00:00:00,2544,72599,4700 Erdman Avenue,Baltimore,MD,21205,US,36.13,7.92,1,0,1.1,11X10X1,,",",Departed FedEx location
1260180,711AR414,FedEx 2Day,EFEX2,3.97345E+11,2023-04-24T00:00:00,7 Eleven,,1300 S Highway 114,Justin,TX,76247,US,40.41,9.61,1,0,1.27,11X10X1,,",",Arrived at FedEx location
1260191,711AR414,FedEx 2Day,EFEX2,3.97345E+11,2023-04-24T00:00:00,2516,71399,12801 Jefferson Avenue,Newport News,VA,23608,US,45.03,9.37,1,0,1.19,11X10X1,,",",Arrived at FedEx location
1260202,711AR414,FedEx 2Day,EFEX2,3.97345E+11,2023-04-24T00:00:00,7 Eleven,,1302 W Henderson St,Cleburne,TX,76033,US,40.41,9.61,1,0,1.78,11X10X1,,",",Arrived at FedEx location
1260176,711AR414,FedEx 2Day,EFEX2,3.97345E+11,2023-04-24T00:00:00,7 Eleven,,456 N ZANG BLVD,Dallas,TX,75208,US,33.25,7.92,1,0,0.95,11X10X1,,",",Arrived at FedEx location
1260871,711AR414,FedEx 2Day,EFEX2,3.97345E+11,2023-04-24T00:00:00,1604,71799,3520 Town Center Drive,Highlands Ranch,CO,80129,US,33.25,7.92,1,0,0.65,11X10X1,,",",Arrived at FedEx location
1259346,711AR414,FedEx 2Day,EFEX2,3.97345E+11,2023-04-24T00:00:00,7 Eleven,,200 Northwest Santiam Boulevard,Mill City,OR,97360,US,63.1,14.1,1,0,2.15,11X10X1,,",",Arrived at FedEx location
1260190,711AR414,FedEx 2Day,EFEX2,3.97345E+11,2023-04-24T00:00:00,7 Eleven,,16056 Sherman Way,Van Nuys,CA,91406,US,49.97,10.39,1,0,1.57,11X10X1,,",",Arrived at FedEx location
1259347,711AR414,FedEx 2Day,EFEX2,3.97345E+11,2023-04-24T00:00:00,7 Eleven,,5555 East Hillsborough Avenue,Tampa,FL,33610,US,45.03,9.37,1,0,1.2,11X10X1,,",",Arrived at FedEx location
1259962,711AR414,FedEx 2Day,EFEX2,3.97345E+11,2023-04-24T00:00:00,2112,72099,44260 Apis Road,Temecula,CA,92592,US,42.6,8.86,1,0,0.5,11X10X1,,",",Departed FedEx location
